Notes offered by Prospectus (https://www.lendingclub.com/info/prospectus.action),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,,loan amount,funded amount,,term,interest rate,installment,grade,sub grade,employment title,employment length in years,home ownership,annual income,verification status,issue date,loan status,payment plan,Loan url,empty description,purpose,Title,Hidden zip code,State,Debt to income ratio,# of Delinquencies in last 2 years,earliest Credit line,Fico range low,fico range high,# inquiries in the last 6 months,months since last delinquency,months since last record?,# open accounts,public record,revolving balance,revolving utilization?,total accounts,intial list status?,,,,,,,,,,last payment date,last payment amount,next payment date,last credit pull date,last fico range high,last fico range low,,,,application type,annual income joit,debt to income joint,verification status joint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,debt settlement flag,,,,,,
id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
158079748,,10400,10400,10400, 60 months,17.74%,262.63,C,C5,Deputy ,2 years,MORTGAGE,40800,Source Verified,19-Sep,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=158079748,,credit_card,Credit card refinancing,386xx,MS,26.68,0,14-Jul,660,664,0,,,8,0,7484,85%,12,w,9954.71,9954.71,1040.27,1040.27,445.29,594.98,0,0,0,20-Jan,262.63,20-Feb,20-Jan,734,730,0,,1,Individual,,,,0,0,186666,1,4,0,0,25,26575,74,0,0,3545,76,8800,0,0,3,1,23333,1316,85,0,0,60,62,28,4,1,28,,5,,0,3,3,3,3,6,3,5,3,8,0,0,0,1,100,66.7,0,0,197774,34059,8800,35944,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
158792243,,12625,12625,12625, 36 months,8.81%,400.36,A,A5,Jeweler,10+ years,MORTGAGE,50000,Source Verified,19-Sep,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=158792243,,home_improvement,Home improvement,201xx,VA,2.18,0,Nov-93,790,794,0,,,6,0,2400,35.30%,9,w,11380.69,11380.69,1595.26,1595.26,1244.31,350.95,0,0,0,20-Jan,400.36,20-Feb,20-Jan,784,780,0,,1,Individual,,,,0,0,178387,0,0,0,0,85,0,,0,0,2249,35,6800,0,0,0,0,35677,2100,53.3,0,0,85,310,39,39,1,143,,,,0,2,2,3,3,1,5,7,2,6,0,0,0,0,100,0,0,0,207105,2400,4500,0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
158892749,,20000,20000,20000, 60 months,12.40%,448.95,B,B4,Foreman,1 year,MORTGAGE,75000,Verified,19-Sep,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=158892749,,debt_consolidation,Debt consolidation,378xx,TN,32.27,0,6-Nov,705,709,0,,,8,0,24882,46.80%,26,w,19015.74,19015.74,1782.02,1782.02,984.26,797.76,0,0,0,20-Jan,448.95,20-Feb,20-Jan,739,735,0,,1,Individual,,,,0,0,101122,1,3,1,3,1,76240,93,0,2,13116,75,53200,0,5,1,6,12640,24918,50,0,0,117,154,18,1,3,19,,7,,0,4,4,4,8,12,5,11,4,8,0,0,0,2,100,25,0,0,135123,101122,49800,81923,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
159305670,,18925,18925,18925, 36 months,13.08%,638.39,B,B5,SCHOOL RESOURCE OFFICER,10+ years,MORTGAGE,110000,Not Verified,19-Sep,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=159305670,,credit_card,Credit card refinancing,064xx,CT,36.06,1,Nov-98,715,719,0,19,,25,0,38756,26.30%,52,w,17061.55,17061.55,2539.81,2539.81,1863.45,676.36,0,0,0,20-Jan,638.39,20-Feb,20-Jan,734,730,0,,1,Individual,,,,0,0,401903,0,4,3,3,7,111093,81,0,3,5819,43,147300,4,8,8,6,16076,81875,31.8,0,0,123,250,19,7,2,20,19,7,19,0,12,13,14,22,13,20,36,13,25,0,0,0,3,98.1,14.3,0,0,567798,149849,120100,125798,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
159341092,,26800,26800,26800, 60 months,20.55%,718.27,D,D2,Dispacher,10+ years,MORTGAGE,77922.05,Source Verified,19-Sep,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=159341092,,debt_consolidation,Debt consolidation,319xx,GA,26.31,0,5-Oct,705,709,0,,,12,0,17413,38.50%,22,w,25735.77,25735.77,2842.48,2842.48,1064.23,1778.25,0,0,0,20-Jan,718.27,20-Feb,20-Jan,734,730,0,,1,Individual,,,,0,0,106501,0,1,0,1,14,24161,,0,0,10142,39,45200,1,0,1,1,8875,9349,58.1,0,0,167,103,64,14,1,64,,5,,0,3,8,4,5,6,10,15,8,12,0,0,0,0,100,50,0,0,159559,41574,22300,36300,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
159403161,,5000,5000,5000, 36 months,20.55%,187.23,D,D2,,< 1 year,RENT,35000,Not Verified,19-Sep,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=159403161,,credit_card,Credit card refinancing,797xx,TX,4.53,0,16-Jan,735,739,1,,,3,0,3101,43.70%,3,w,4583.02,4583.02,743.21,743.21,416.98,326.23,0,0,0,20-Jan,187.23,20-Feb,20-Jan,674,670,0,,1,Joint App,115000,5.23,Not Verified,0,0,3101,0,0,0,0,,0,,0,0,3076,44,7100,0,0,1,0,1034,1999,60.8,0,0,,44,29,29,0,41,,6,,0,2,2,2,2,0,3,3,2,3,0,0,0,0,100,50,0,0,7100,3101,5100,0,12010,670,674,16-Jan,1,0,5,68.9,2,3,0,0,,N,,,,,,,,,,,,,,,N,,,,,,
159414914,,8000,8000,8000, 36 months,11.71%,264.61,B,B3,VP Sales,< 1 year,RENT,75000,Not Verified,19-Sep,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=159414914,,debt_consolidation,Debt consolidation,928xx,CA,4.38,0,14-Apr,695,699,1,,,4,0,9728,55.90%,5,w,6985.53,6985.53,1303.24,1303.24,1014.47,288.77,0,0,0,20-Jan,264.61,20-Feb,20-Jan,644,640,0,,1,Individual,,,,0,0,9728,2,0,0,0,65,0,,2,2,4400,56,17400,0,0,1,2,2432,7672,55.9,0,0,65,54,4,4,0,4,,4,,0,4,4,4,4,1,4,4,4,4,0,0,0,2,100,25,0,0,17400,9728,17400,0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
159488972,,16000,16000,16000, 60 months,8.81%,330.67,A,A5,Electrician,10+ years,MORTGAGE,84000,Source Verified,19-Sep,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=159488972,,credit_card,Credit card refinancing,761xx,TX,22.78,0,15-Aug,695,699,1,,,12,0,3251,31.60%,17,w,15137.75,15137.75,1314.85,1314.85,862.25,452.6,0,0,0,20-Jan,330.67,20-Feb,20-Jan,734,730,0,,1,Individual,,,,0,0,232522,2,3,2,2,4,57973,91,0,1,1762,68,10300,3,0,3,4,19377,7049,31.6,0,0,49,43,21,4,3,21,,0,,0,4,4,7,7,6,7,7,4,12,0,0,0,3,100,0,0,0,264062,62783,10300,77074,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
159496773,,10000,10000,10000, 36 months,7.56%,311.34,A,A3,,2 years,MORTGAGE,50000,Source Verified,19-Sep,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=159496773,,other,Other,801xx,CO,18.6,0,5-Mar,740,744,0,,,17,0,21231,48.80%,41,w,9250.28,9250.28,929.82,929.82,749.72,180.1,0,0,0,19-Dec,311.34,20-Feb,20-Jan,744,740,0,,1,Individual,,,,0,0,347144,1,10,0,1,14,21963,48,0,2,6509,48,43500,1,15,1,5,20420,9991,39.4,0,0,174,116,20,2,7,20,,4,,0,1,2,2,5,25,5,9,2,17,0,0,0,2,100,50,0,0,430362,43194,16500,45759,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
